Frequency_MHz,SEFD_Jy
559.9383667180277,756.9767441860465
560.5546995377504,739.5348837209302
560.5546995377504,730.2325581395348
561.171032357473,723.2558139534884
562.4036979969184,716.2790697674419
565.4853620955316,703.4883720930233
565.4853620955316,703.4883720930233
567.3343605546995,688.3720930232558
567.3343605546995,684.8837209302326
567.3343605546995,679.0697674418604
567.3343605546995,675.5813953488372
567.3343605546995,675.5813953488372
569.7996918335901,658.1395348837209
571.6486902927581,666.2790697674419
571.6486902927581,666.2790697674419
573.497688751926,672.0930232558139
575.346687211094,679.0697674418604
577.1956856702619,687.2093023255813
578.4283513097073,694.1860465116279
579.6610169491526,701.1627906976744
582.7426810477658,706.9767441860465
582.7426810477658,715.1162790697674
582.7426810477658,715.1162790697674
584.5916795069337,697.6744186046511
587.0570107858243,686.046511627907
587.0570107858243,686.046511627907
587.673343605547,676.7441860465116
587.673343605547,669.7674418604652
588.2896764252696,661.6279069767442
590.1386748844376,647.6744186046511
590.1386748844376,647.6744186046511
593.2203389830509,637.2093023255813
593.2203389830509,637.2093023255813
595.6856702619415,632.5581395348837
596.9183359013867,625.5813953488372
601.848998459168,634.8837209302326
601.848998459168,634.8837209302326
605.5469953775039,631.3953488372093
606.1633281972265,640.6976744186046
606.7796610169491,647.6744186046511
606.7796610169491,655.8139534883721
611.0939907550077,655.8139534883721
612.326656394453,643.0232558139535
616.6409861325116,622.0930232558139
616.6409861325116,636.046511627907
619.1063174114022,616.2790697674418
625.2696456086287,615.1162790697674
626.502311248074,611.6279069767442
627.7349768875192,610.4651162790698
630.2003081664099,610.4651162790698
630.2003081664099,610.4651162790698
636.979969183359,611.6279069767442
640.0616332819723,608.1395348837209
643.7596302003082,598.8372093023256
646.2249614791988,589.5348837209302
647.457627118644,573.2558139534883
647.457627118644,573.2558139534883
648.6902927580894,565.1162790697674
653.6209553158706,563.953488372093
656.7026194144838,568.6046511627907
656.7026194144838,568.6046511627907
661.0169491525423,577.9069767441861
665.9476117103236,581.3953488372093
665.9476117103236,581.3953488372093
668.4129429892141,574.4186046511628
674.5762711864406,566.2790697674418
674.5762711864406,566.2790697674418
675.1926040061633,575.5813953488372
678.2742681047766,559.3023255813953
683.8212634822804,550
687.5192604006163,548.8372093023256
690.6009244992296,555.8139534883721
696.7642526964561,553.4883720930233
696.7642526964561,553.4883720930233
701.0785824345146,541.8604651162791
702.9275808936826,536.046511627907
707.2419106317411,536.046511627907
711.5562403697996,523.2558139534883
711.5562403697996,523.2558139534883
714.6379044684129,527.9069767441861
709.7072419106318,529.0697674418604
719.5685670261942,529.0697674418604
722.6502311248074,529.0697674418604
722.6502311248074,529.0697674418604
727.5808936825886,523.2558139534883
730.0462249614792,522.0930232558139
730.0462249614792,522.0930232558139
733.1278890600925,527.9069767441861
734.9768875192603,520.9302325581396
738.0585516178736,516.2790697674418
741.1402157164869,509.30232558139534
744.8382126348228,506.9767441860465
746.6872110939908,498.83720930232556
745.4545454545455,489.5348837209302
751.0015408320493,477.90697674418607
748.5362095531586,482.5581395348837
753.4668721109399,487.20930232558135
755.3158705701078,497.6744186046511
756.5485362095532,506.9767441860465
762.7118644067797,508.1395348837209
763.9445300462249,501.1627906976744
768.2588597842835,497.6744186046511
770.7241910631741,489.5348837209302
774.42218798151,489.5348837209302
778.7365177195686,494.18604651162786
782.4345146379045,498.83720930232556
785.5161787365178,491.86046511627904
790.4468412942989,486.04651162790697
792.9121725731895,480.23255813953483
795.9938366718028,473.25581395348837
797.8428351309707,463.95348837209303
802.773497688752,460.4651162790698
808.3204930662557,460.4651162790698
810.1694915254237,453.48837209302326
814.4838212634822,455.8139534883721
821.2634822804314,460.4651162790698
821.2634822804314,460.4651162790698
824.3451463790446,454.65116279069764
829.8921417565485,447.6744186046511
832.9738058551618,446.51162790697674
835.4391371340523,445.3488372093023
835.4391371340523,445.3488372093023
839.1371340523883,440.69767441860466
844.0677966101695,446.51162790697674
848.9984591679506,444.18604651162786
853.9291217257319,438.3720930232558
857.0107858243451,433.72093023255815
861.9414483821263,423.25581395348837
861.9414483821263,423.25581395348837
866.8721109399075,423.25581395348837
870.5701078582434,411.62790697674416
870.5701078582434,411.62790697674416
874.2681047765793,411.62790697674416
874.2681047765793,411.62790697674416
877.9661016949152,404.65116279069764
881.0477657935285,382.5581395348837
883.5130970724191,387.2093023255814
885.3620955315871,395.3488372093023
885.9784283513097,406.9767441860465
887.8274268104776,415.1162790697674
887.8274268104776,415.1162790697674
887.8274268104776,415.1162790697674
891.5254237288136,429.06976744186045
893.3744221879815,429.06976744186045
893.3744221879815,429.06976744186045
898.9214175654854,425.5813953488372
906.3174114021572,422.09302325581393
910.6317411402157,422.09302325581393
916.7950693374422,424.41860465116275
921.1093990755007,422.09302325581393
924.8073959938367,429.06976744186045
926.6563944530046,416.27906976744185
929.7380585516178,413.95348837209303
929.7380585516178,413.95348837209303
933.4360554699538,402.3255813953488
933.4360554699538,402.3255813953488
958.7057010785825,400
962.4036979969183,394.18604651162786
967.9506933744221,391.86046511627904
973.497688751926,391.86046511627904
979.6610169491526,389.5348837209302
983.9753466872111,382.5581395348837
988.2896764252696,381.39534883720927
992.6040061633282,381.39534883720927
998.7673343605547,382.5581395348837
1004.9306625577813,381.39534883720927
1012.326656394453,382.5581395348837
1019.7226502311248,382.5581395348837
1025.2696456086287,386.04651162790697
1028.9676425269645,391.86046511627904
1032.0493066255779,386.04651162790697
1037.5963020030817,389.5348837209302
1041.2942989214175,401.1627906976744
1046.2249614791988,408.1395348837209
1047.457627118644,419.7674418604651
1050.5392912172574,425.5813953488372
1053.004622496148,437.2093023255814
1054.2372881355932,451.1627906976744
1054.8536209553158,462.7906976744186
1055.4699537750384,470.93023255813955
1056.7026194144837,486.04651162790697
1056.7026194144837,479.06976744186045
1058.5516178736518,501.1627906976744
1059.1679506933745,495.3488372093023
1059.1679506933745,495.3488372093023
1059.1679506933745,513.953488372093
1059.1679506933745,538.3720930232558
1059.1679506933745,525.5813953488372
1059.1679506933745,554.6511627906976
1059.1679506933745,563.953488372093
1060.4006163328197,573.2558139534883
1061.633281972265,583.7209302325581